id,group,average_speed,average_distance_per_frame,maximal_distance_traveled,average_change_in_pixels,average_angular_speed,total_distance_traveled,distance_traveled_bin,average_acceleration,time_elapsed_(hours),std_speed,std/mean,roaming_fraction,lifespan,drugged,worm_id
2620,22.0,0.7247956669899108,1.4495913339798217,23078.32429080394,0.09706546275395034,1.4613636496499738,23078.32429080394,1381.1293057417897,0.6001585136329121,132.49944444444444,1.5051103725074844,2.0765995728951228,0.39503386004514673,336.3338888888889,2,36
2621,23.0,0.3449731427329715,0.689946285465943,23502.2832347543,-18.0,0.32741711034276344,23502.2832347543,423.9589439503616,2.7665836715442005,138.5,,,1.0,336.3338888888889,2,36
2622,24.0,0.22321291126322018,0.44642582252644036,23904.124283055844,-0.024471635150166853,1.3352419993349955,23904.124283055844,401.8410483015432,0.1720785044613481,144.5,0.43927017781186517,1.9679425142834277,0.041156840934371525,336.3338888888889,2,36
2623,25.0,0.7442828090420535,1.488565618084107,25243.660113076803,1.0589543937708565,1.4961490237497694,25243.660113076803,1339.535830020959,0.8791860356033361,150.5,4.830991296703377,6.490800590868432,0.13125695216907676,336.3338888888889,2,36
2624,26.0,0.44451729223187614,0.8890345844637523,26043.54162449238,0.27474972191323693,1.4810187642128032,26043.54162449238,799.8815114155768,0.40786485657263544,156.5,1.6568500326270155,3.7273016406361603,0.13904338153503892,336.3338888888889,2,36
2625,27.0,0.42194525977676284,0.8438905195535257,26803.239668473427,-0.1835372636262514,1.4627998512652587,26803.239668473427,759.6980439810468,0.33124753768910825,162.5,0.8302894858026624,1.9677658809153131,0.18131256952169078,336.3338888888889,2,36
2626,28.0,0.7295486931112681,1.4590973862225363,28113.749990636865,-1.2006688963210703,1.6332215526208023,28113.749990636865,1310.510322163438,0.7137269753016929,168.4988888888889,1.9825492990335263,2.7175009944554245,0.3132664437012263,336.3338888888889,2,36
2627,29.0,1.3470507978287696,2.694101595657539,30813.857949738758,0.24320652173913043,1.3941217962377497,30813.857949738758,2700.1079591018934,0.9867979086072521,174.5,14.526874733483405,10.784207066948332,0.09918478260869565,336.3338888888889,2,36
2628,30.0,0.43986177084069844,0.8797235416813969,31963.946434847134,1.5402684563758389,1.840227430253702,31963.946434847134,1150.0884851083756,0.631772542760795,180.5,4.387383167961317,9.974458929621923,0.06152125279642058,336.3338888888889,2,36
2629,31.0,1.02195259476602,2.04390518953204,33801.68712082498,-0.08231368186874305,1.7505245777033065,33801.68712082498,1837.7406859778457,0.9689810934595487,186.5,9.5691488256057,9.363593648682494,0.32146829810901,336.3338888888889,2,36
2630,32.0,0.6152801245416921,1.2305602490833842,34910.35605319721,-0.3414905450500556,1.6586167674296064,34910.35605319721,1108.6689323722312,0.5949963840776616,192.5,3.5276927903556263,5.733474314619414,0.22580645161290322,336.3338888888889,2,36
2631,33.0,0.33080924965881703,0.6616184993176341,35505.52132294163,-0.19911012235817574,1.8611146756744719,35505.52132294163,595.1652697444224,0.33832858473781535,198.5,1.3180912284874304,3.9844449024531667,0.09566184649610679,336.3338888888889,2,36
2632,34.0,0.327800382778498,0.655600765556996,36093.74056860452,-1.10479375696767,1.607180683781566,36093.74056860452,588.2192456628836,0.25405579009424967,204.4988888888889,0.4317961736722243,1.317253415057781,0.10367892976588629,336.3338888888889,2,36
2633,35.0,0.236794462947669,0.473588925895338,36495.25677180047,-0.011547344110854504,1.306302030693244,36495.25677180047,401.5162031959553,0.26465203313791824,210.5,1.5395756344122504,6.501738322962783,0.03926096997690531,336.3338888888889,2,36
2634,36.0,0.48220550799704875,0.9644110159940975,37361.91875005723,0.1167964404894327,1.4310833427297829,37361.91875005723,866.6619782567577,0.43954425949812276,216.5,3.141777468429604,6.5154325621034435,0.08120133481646273,336.3338888888889,2,36
2635,37.0,1.3964670031714792,2.7929340063429584,39873.234815533564,-0.12013348164627363,1.3600256105497506,39873.234815533564,2511.316065476334,1.3069478697920205,222.5,8.346597889321455,5.976938853811595,0.05784204671857619,336.3338888888889,2,36
2636,38.0,1.5680367318098616,3.136073463619723,42693.26280509592,0.05116796440489433,1.459090191775608,42693.26280509592,2820.0279895623535,1.8235527660120185,228.5,5.429586941894503,3.4626656581109283,0.23025583982202447,336.3338888888889,2,36
2637,39.0,0.25396045496469566,0.5079209099293913,43170.24472891057,0.38204592901878914,0.873887661822111,43170.24472891057,476.98192381465196,0.2570740682638042,234.5,0.668090197869912,2.6306859387332038,0.07933194154488518,336.3338888888889,2,36
