id,group,average_speed,average_distance_per_frame,maximal_distance_traveled,average_change_in_pixels,average_angular_speed,total_distance_traveled,distance_traveled_bin,average_acceleration,time_elapsed_(hours),std_speed,std/mean,roaming_fraction,lifespan,drugged1,drugged2,worm_id
2954,24.0,0.6262290469448563,1.2524580938897125,34448.926442472446,-0.05005561735261402,1.7341842287539226,34448.926442472446,1127.6626808130459,0.6497972255280825,144.5,4.237239782119905,6.766277934234856,0.3559510567296997,288.30611111111114,0,0,41
2955,25.0,0.7512100087647411,1.5024200175294822,35800.186133123985,-0.018909899888765295,1.5385579232279367,35800.186133123985,1351.2596906515391,0.6704367435406465,150.5,2.4160583824571487,3.2162223003791124,0.6273637374860956,288.30611111111114,0,0,41
2956,26.0,0.4806027654659087,0.9612055309318174,36664.383424927284,0.09899888765294772,1.6564620342076832,36664.383424927284,864.1972918032989,0.5783270307676343,156.5,4.821343498402008,10.031867989207415,0.05784204671857619,288.30611111111114,0,0,41
2957,27.0,0.5702589147120022,1.1405178294240044,37689.23771805393,-0.042269187986651836,1.7049405700634712,37689.23771805393,1024.8542931266493,0.5543586359961402,162.5,2.9145655007714892,5.110951228607153,0.25695216907675195,288.30611111111114,0,0,41
2958,28.0,0.4583499001787741,0.9166998003575482,38513.26464569355,-0.041156840934371525,1.8562943998225496,38513.26464569355,824.0269276396139,0.40532091543875487,168.5,1.3647758096885738,2.9775850483577257,0.2135706340378198,288.30611111111114,0,0,41
2959,29.0,0.46386188588970667,0.9277237717794133,39347.88864389093,0.05116796440489433,1.7330700435371633,39347.88864389093,834.6239981973849,0.41197544673544134,174.5,0.934938962418307,2.0155546098060086,0.25695216907675195,288.30611111111114,0,0,41
2960,30.0,0.5648159993705456,1.1296319987410912,40364.529990920724,-0.034482758620689655,1.6483860056166464,40364.529990920724,1016.6413470297921,0.47253731665227977,180.5,1.2725687734919284,2.2530678573378444,0.40934371523915464,288.30611111111114,0,0,41
2961,31.0,0.5785453310987069,1.1570906621974137,41405.674024453896,0.004449388209121246,1.6026040409624072,41405.674024453896,1041.1440335331718,0.6666551647269537,186.5,5.270115901304255,9.109253187292785,0.2335928809788654,288.30611111111114,0,0,41
2962,32.0,0.7830120216876819,1.5660240433753638,42812.74655498561,-0.012235817575083427,1.78550304372914,42812.74655498561,1407.0725305317173,0.7476279142510545,192.5,3.7319191944221255,4.76610714913221,0.474972191323693,288.30611111111114,0,0,41
2963,33.0,0.6294941279001972,1.2589882558003944,43944.82558802758,0.25917686318131256,1.8458370154849078,43944.82558802758,1132.0790330419695,0.5743801520446762,198.5,2.3579933414200624,3.7458543883254607,0.5050055617352615,288.30611111111114,0,0,41
2964,34.0,1.3474577428466488,2.6949154856932975,46371.49864252838,-0.26918798665183535,1.1450398327927684,46371.49864252838,2426.673054500796,1.19477983100295,204.5,5.426958641093928,4.027553865718191,0.8542825361512792,288.30611111111114,0,0,41
2965,35.0,0.430499313327243,0.860998626654486,47145.435719741086,-0.0033370411568409346,1.75972827800698,47145.435719741086,773.9370772127077,0.4274317249521706,210.5,2.1743368766884665,5.05073250845269,0.16796440489432704,288.30611111111114,0,0,41
2966,36.0,0.6538952297189662,1.3077904594379324,48321.967044397985,0.01557285873192436,1.737334820070667,48321.967044397985,1176.5313246568985,0.630719989507202,216.5,3.058752369545362,4.677740761100162,0.4794215795328142,288.30611111111114,0,0,41
2967,37.0,0.48555659673058515,0.9711131934611703,49194.97527978442,0.017797552836484983,1.8132668872871869,49194.97527978442,873.0082353864345,0.48351255284635125,222.5,2.3681414771512705,4.877168785465502,0.27474972191323693,288.30611111111114,0,0,41
2968,38.0,0.5867641263641593,1.1735282527283186,50249.840588449886,0.028921023359288096,1.8497439086602732,50249.840588449886,1054.8653086654667,0.5847486990743438,228.5,3.6698886148354233,6.254452939336319,0.3348164627363737,288.30611111111114,0,0,41
2969,39.0,0.44607133737533133,0.8921426747506627,51053.41140314758,-0.07341490545050056,1.9219010556223919,51053.41140314758,803.5708146976904,0.47995168749330164,234.5,3.3549272128682635,7.5210553374905045,0.14349276974416017,288.30611111111114,0,0,41
2970,40.0,0.24039234564138923,0.48078469128277845,51485.60938579496,-0.004449388209121246,1.8668869492981461,51485.60938579496,432.19798264738347,0.27072811909162886,240.5,1.9035253024681353,7.918410619062566,0.02335928809788654,288.30611111111114,0,0,41
